Crsytal with exposed surface: 001 and interactomic distance: 1.12246

7921 atoms
1 atom types
-49.38833012561307 49.38833012561176 xlo xhi
-49.388330125613656 49.38833012561117 ylo yhi
0.0 0.0 zlo zhi

Atoms

0 1000000 1 15.714469 -49.388330 0.000000 0 0 0
0 1000000 1 16.836931 -49.388330 0.000000 0 0 0
0 1000000 1 17.959393 -49.388330 0.000000 0 0 0
0 1000000 1 19.081855 -49.388330 0.000000 0 0 0
0 1000000 1 20.204317 -49.388330 0.000000 0 0 0
0 1000000 1 21.326779 -49.388330 0.000000 0 0 0
0 1000000 1 22.449241 -49.388330 0.000000 0 0 0
0 1000000 1 23.571703 -49.388330 0.000000 0 0 0
0 1000000 1 24.694165 -49.388330 0.000000 0 0 0
0 1000000 1 25.816627 -49.388330 0.000000 0 0 0
0 1000000 1 26.939089 -49.388330 0.000000 0 0 0
0 1000000 1 28.061551 -49.388330 0.000000 0 0 0
0 1000000 1 29.184013 -49.388330 0.000000 0 0 0
0 1000000 1 30.306475 -49.388330 0.000000 0 0 0
0 1000000 1 31.428937 -49.388330 0.000000 0 0 0
0 1000000 1 32.551399 -49.388330 0.000000 0 0 0
0 1000000 1 33.673861 -49.388330 0.000000 0 0 0
0 1000000 1 34.796323 -49.388330 0.000000 0 0 0
0 1000000 1 35.918786 -49.388330 0.000000 0 0 0
0 1000000 1 37.041248 -49.388330 0.000000 0 0 0
0 1000000 1 38.163710 -49.388330 0.000000 0 0 0
0 1000000 1 39.286172 -49.388330 0.000000 0 0 0
0 1000000 1 40.408634 -49.388330 0.000000 0 0 0
0 1000000 1 41.531096 -49.388330 0.000000 0 0 0
0 1000000 1 42.653558 -49.388330 0.000000 0 0 0
0 1000000 1 43.776020 -49.388330 0.000000 0 0 0
0 1000000 1 44.898482 -49.388330 0.000000 0 0 0
0 1000000 1 46.020944 -49.388330 0.000000 0 0 0
0 1000000 1 47.143406 -49.388330 0.000000 0 0 0
0 1000000 1 48.265868 -49.388330 0.000000 0 0 0
0 1000000 1 49.388330 -49.388330 0.000000 0 0 0
0 1000000 1 -49.388330 -48.265868 0.000000 0 0 0
0 1000000 1 -48.265868 -48.265868 0.000000 0 0 0
0 1000000 1 -47.143406 -48.265868 0.000000 0 0 0
0 1000000 1 -46.020944 -48.265868 0.000000 0 0 0
0 1000000 1 -44.898482 -48.265868 0.000000 0 0 0
0 1000000 1 -43.776020 -48.265868 0.000000 0 0 0
0 1000000 1 -42.653558 -48.265868 0.000000 0 0 0
0 1000000 1 -41.531096 -48.265868 0.000000 0 0 0
0 1000000 1 -40.408634 -48.265868 0.000000 0 0 0
0 1000000 1 -39.286172 -48.265868 0.000000 0 0 0
0 1000000 1 -38.163710 -48.265868 0.000000 0 0 0
0 1000000 1 -37.041248 -48.265868 0.000000 0 0 0
0 1000000 1 -35.918786 -48.265868 0.000000 0 0 0
0 1000000 1 -34.796323 -48.265868 0.000000 0 0 0
