Crsytal with exposed surface: 001 and interactomic distance: 1.12246

1565 atoms
1 atom types
-24.69416506280686 24.694165062805553 xlo xhi
-24.69416506280745 24.694165062804963 ylo yhi
0.0 23.035585990235727 zlo zhi

Atoms

0 1000000 1 -1.122462 -21.326779 12.003517 0 0 0
0 1000000 1 -0.000000 -21.326779 11.955135 0 0 0
0 1000000 1 1.122462 -21.326779 12.003517 0 0 0
0 1000000 1 2.244924 -21.326779 12.149754 0 0 0
0 1000000 1 3.367386 -21.326779 12.397254 0 0 0
0 1000000 1 4.489848 -21.326779 12.752153 0 0 0
0 1000000 1 5.612310 -21.326779 13.224157 0 0 0
0 1000000 1 6.734772 -21.326779 13.828100 0 0 0
0 1000000 1 7.857234 -21.326779 14.586914 0 0 0
0 1000000 1 8.979696 -21.326779 15.537783 0 0 0
0 1000000 1 10.102158 -21.326779 16.746825 0 0 0
0 1000000 1 11.224620 -21.326779 18.353467 0 0 0
0 1000000 1 12.347083 -21.326779 20.790718 0 0 0
0 1000000 1 -14.592007 -20.204317 23.035586 0 0 0
0 1000000 1 -13.469545 -20.204317 19.053829 0 0 0
0 1000000 1 -12.347083 -20.204317 16.979082 0 0 0
0 1000000 1 -11.224620 -20.204317 15.471439 0 0 0
0 1000000 1 -10.102158 -20.204317 14.288699 0 0 0
0 1000000 1 -8.979696 -20.204317 13.331640 0 0 0
0 1000000 1 -7.857234 -20.204317 12.548115 0 0 0
0 1000000 1 -6.734772 -20.204317 11.906932 0 0 0
0 1000000 1 -5.612310 -20.204317 11.387963 0 0 0
0 1000000 1 -4.489848 -20.204317 10.977631 0 0 0
0 1000000 1 -3.367386 -20.204317 10.666602 0 0 0
0 1000000 1 -2.244924 -20.204317 10.448509 0 0 0
0 1000000 1 -1.122462 -20.204317 10.319208 0 0 0
0 1000000 1 -0.000000 -20.204317 10.276360 0 0 0
0 1000000 1 1.122462 -20.204317 10.319208 0 0 0
0 1000000 1 2.244924 -20.204317 10.448509 0 0 0
0 1000000 1 3.367386 -20.204317 10.666602 0 0 0
0 1000000 1 4.489848 -20.204317 10.977631 0 0 0
